type,id,name,campus,district,county,overall,overall_score,1_achievement,1_achievement_score,2_progress,2_progress_score,3_gaps,3_gaps_score,student_pop,esc_region,region,perc_econ_disadvantage,type_detail,absolute_url
district,1902.0,CAYUGA ISD,,Cayuga ISD,Anderson,A,94,A,93,A,92,A,96,564,7,REGION 07: KILGORE,42.6%,District,/districts/cayuga-isd/
campus,1902001.0,CAYUGA H S,CAYUGA H S,Cayuga ISD,Anderson,A,95,A,93,A,90,A,100,179,7,REGION 07: KILGORE,39.1%,High School,/districts/cayuga-isd/cayuga-high-school/
campus,1902041.0,CAYUGA MIDDLE,CAYUGA MIDDLE,Cayuga ISD,Anderson,B,83,B,85,C,79,C,79,119,7,REGION 07: KILGORE,35.3%,Middle School,/districts/cayuga-isd/cayuga-middle-school/
campus,1902103.0,CAYUGA EL,CAYUGA EL,Cayuga ISD,Anderson,A,91,A,90,B,87,A,94,266,7,REGION 07: KILGORE,48.1%,Elementary,/districts/cayuga-isd/cayuga-elementary-school/
district,1903.0,ELKHART ISD,,Elkhart ISD,Anderson,A,90,A,92,A,91,B,85,"1,254",7,REGION 07: KILGORE,58.1%,District,/districts/elkhart-isd/
campus,1903001.0,ELKHART H S,ELKHART H S,Elkhart ISD,Anderson,B,89,A,91,B,86,B,83,376,7,REGION 07: KILGORE,49.7%,High School,/districts/elkhart-isd/elkhart-high-school/
campus,1903002.0,ELKHART DAEP,ELKHART DAEP,Elkhart ISD,Anderson,Not rated,.,Not rated,.,Not rated,.,Not rated,.,2,7,REGION 07: KILGORE,100.0%,High School,
campus,1903041.0,ELKHART MIDDLE,ELKHART MIDDLE,Elkhart ISD,Anderson,B,86,B,84,B,87,B,85,261,7,REGION 07: KILGORE,56.7%,Middle School,/districts/elkhart-isd/elkhart-middle-school/
campus,1903101.0,ELKHART EL,ELKHART EL,Elkhart ISD,Anderson,A,92,Not rated,.,Not rated,.,Not rated,.,338,7,REGION 07: KILGORE,69.8%,Elementary,/districts/elkhart-isd/elkhart-elementary-school/
campus,1903102.0,ELKHART INT,ELKHART INT,Elkhart ISD,Anderson,A,92,B,88,A,91,A,94,277,7,REGION 07: KILGORE,56.0%,Elementary,/districts/elkhart-isd/elkhart-int/
district,1904.0,FRANKSTON ISD,,Frankston ISD,Anderson,B,89,A,91,A,91,B,84,803,7,REGION 07: KILGORE,53.7%,District,/districts/frankston-isd/
campus,1904001.0,FRANKSTON H S,FRANKSTON H S,Frankston ISD,Anderson,B,86,B,89,B,85,C,79,228,7,REGION 07: KILGORE,43.4%,High School,/districts/frankston-isd/frankston-high-school/
campus,1904041.0,FRANKSTON MIDDLE,FRANKSTON MIDDLE,Frankston ISD,Anderson,B,84,B,85,B,86,B,80,194,7,REGION 07: KILGORE,50.5%,Middle School,/districts/frankston-isd/frankston-middle-school/
campus,1904102.0,FRANKSTON EL,FRANKSTON EL,Frankston ISD,Anderson,C,78,C,78,B,82,C,70,381,7,REGION 07: KILGORE,61.4%,Elementary,/districts/frankston-isd/frankston-elementary-school/
district,1906.0,NECHES ISD,,Neches ISD,Anderson,A,91,A,93,A,93,B,86,366,7,REGION 07: KILGORE,47.8%,District,/districts/neches-isd/
campus,1906002.0,NECHES H S,NECHES H S,Neches ISD,Anderson,A,96,A,96,A,93,Not rated,.,107,7,REGION 07: KILGORE,37.4%,High School,/districts/neches-isd/neches-high-school/
campus,1906102.0,NECHES EL,NECHES EL,Neches ISD,Anderson,C,77,C,78,C,79,C,73,259,7,REGION 07: KILGORE,52.1%,Elementary,/districts/neches-isd/neches-elementary-school/
district,1907.0,PALESTINE ISD,,Palestine ISD,Anderson,B,87,B,86,A,91,C,79,"3,389",7,REGION 07: KILGORE,74.9%,District,/districts/palestine-isd/
campus,1907001.0,PALESTINE H S,PALESTINE H S,Palestine ISD,Anderson,B,85,B,87,B,87,B,80,984,7,REGION 07: KILGORE,64.4%,High School,/districts/palestine-isd/palestine-high-school/
campus,1907041.0,PALESTINE J H,PALESTINE J H,Palestine ISD,Anderson,B,85,C,75,B,86,B,82,519,7,REGION 07: KILGORE,74.0%,Middle School,/districts/palestine-isd/palestine-middle-school/
campus,1907101.0,NORTHSIDE PRI,NORTHSIDE PRI,Palestine ISD,Anderson,B,82,Not rated,.,Not rated,.,Not rated,.,494,7,REGION 07: KILGORE,79.6%,Elementary,/districts/palestine-isd/northside-primary-school/
campus,1907102.0,WASHINGTON EARLY CHILDHOOD CENTER,WASHINGTON EARLY CHILDHOOD CENTER,Palestine ISD,Anderson,B,82,Not rated,.,Not rated,.,Not rated,.,174,7,REGION 07: KILGORE,100.0%,Elementary,/districts/palestine-isd/washington-early-childhood-center/
campus,1907107.0,SOUTHSIDE EL,SOUTHSIDE EL,Palestine ISD,Anderson,B,82,C,77,B,84,C,78,462,7,REGION 07: KILGORE,77.5%,Elementary,/districts/palestine-isd/southside-elementary-school/
campus,1907110.0,STORY INT,STORY INT,Palestine ISD,Anderson,D,67,D,67,C,70,D,60,756,7,REGION 07: KILGORE,79.0%,Elementary,/districts/palestine-isd/story-intermediate-school/
district,1908.0,WESTWOOD ISD,,Westwood ISD,Anderson,B,81,B,83,B,85,C,73,"1,518",7,REGION 07: KILGORE,61.5%,District,/districts/westwood-isd/
campus,1908002.0,WESTWOOD H S,WESTWOOD H S,Westwood ISD,Anderson,B,83,B,85,B,81,C,77,418,7,REGION 07: KILGORE,44.7%,High School,/districts/westwood-isd/westwood-high-school/
campus,1908041.0,WESTWOOD J H,WESTWOOD J H,Westwood ISD,Anderson,C,78,C,70,C,79,C,75,237,7,REGION 07: KILGORE,57.0%,Middle School,/districts/westwood-isd/westwood-junior-high-school/
campus,1908101.0,WESTWOOD EL,WESTWOOD EL,Westwood ISD,Anderson,F,58,D,62,F,59,F,48,447,7,REGION 07: KILGORE,67.8%,Elementary,/districts/westwood-isd/westwood-elementary-school/
campus,1908102.0,WESTWOOD PRI,WESTWOOD PRI,Westwood ISD,Anderson,F,58,Not rated,.,Not rated,.,Not rated,.,416,7,REGION 07: KILGORE,74.0%,Elementary,/districts/westwood-isd/westwood-primary-school/
district,1909.0,SLOCUM ISD,,Slocum ISD,Anderson,A,91,A,93,A,92,B,87,406,7,REGION 07: KILGORE,45.8%,District,/districts/slocum-isd/
campus,1909001.0,SLOCUM H S,SLOCUM H S,Slocum ISD,Anderson,A,91,A,93,B,89,B,85,115,7,REGION 07: KILGORE,42.6%,High School,/districts/slocum-isd/slocum-high-school/
campus,1909101.0,SLOCUM PK - 8,SLOCUM PK - 8,Slocum ISD,Anderson,B,82,B,83,B,81,C,79,291,7,REGION 07: KILGORE,47.1%,Elementary,/districts/slocum-isd/slocum-pk-8/
district,2901.0,ANDREWS ISD,,Andrews ISD,Andrews,C,79,B,81,C,73,C,74,"4,314",18,REGION 18: MIDLAND,41.0%,District,/districts/andrews-isd/
campus,2901001.0,ANDREWS H S,ANDREWS H S,Andrews ISD,Andrews,B,83,B,85,B,80,C,77,"1,143",18,REGION 18: MIDLAND,36.0%,High School,/districts/andrews-isd/andrews-high-school/
campus,2901002.0,ANDREWS EDUCATION CENTER,ANDREWS EDUCATION CENTER,Andrews ISD,Andrews,C,74,C,74,Not rated,.,Not rated,.,41,18,REGION 18: MIDLAND,56.1%,High School,/districts/andrews-isd/andrews-education-center/
campus,2901041.0,ANDREWS MIDDLE,ANDREWS MIDDLE,Andrews ISD,Andrews,C,70,C,74,D,69,D,60,"1,026",18,REGION 18: MIDLAND,39.9%,Middle School,/districts/andrews-isd/andrews-middle-school/
campus,2901101.0,DEVONIAN EL,DEVONIAN EL,Andrews ISD,Andrews,C,78,C,78,C,72,C,77,609,18,REGION 18: MIDLAND,41.7%,Elementary,/districts/andrews-isd/devonian-elementary-school/
