"District Number",District,"Campus Number",Campus,"ESC Region",Region,County,"School Type","Grades Served","Alternate Education","Number of Students","% Economically Disadvantaged","% LEP Students","Overall Rating *","Overall Score","Student Achievement Rating *","Student Achievement Score","School Progress Rating *","School Progress Score","Academic Growth Rating *","Academic Growth Score","Relative Performance Rating *","Relative Performance Score","Closing the Gaps Rating *","Closing the Gaps Score","Support Label","Public Education Grant","Distinction Reading","Distinction Mathematics","Distinction Science","Distinction Soc Studies","Distinction Progress","Distinction Closing the Gap","Distinction Post-Sec Readiness","US Congress District","TX House District","TX Senate District"
001902,CAYUGA ISD,,,07,REGION 07: KILGORE,ANDERSON,District,,No,564,42.6%,0.2%,A,94,A,93,A,92,B,84,A,92,A,96,,,,,,,,,Earned,,,
001902,CAYUGA ISD,001902001,CAYUGA H S,07,REGION 07: KILGORE,ANDERSON,High School,09 - 12,No,179,39.1%,0.0%,A,95,A,93,A,90,A,90,B,88,A,100,,,Earned,Earned,Earned,Earned,Earned,Earned,Earned,005,008,003
001902,CAYUGA ISD,001902041,CAYUGA MIDDLE,07,REGION 07: KILGORE,ANDERSON,Middle School,06 - 08,No,119,35.3%,0.8%,B,83,B,85,C,79,C,72,C,79,C,79,Targeted Support,,Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Earned,005,008,003
001902,CAYUGA ISD,001902103,CAYUGA EL,07,REGION 07: KILGORE,ANDERSON,Elementary,PK - 05,No,266,48.1%,0.0%,A,91,A,90,B,87,B,82,B,87,A,94,,,Not Earned,Earned,Not Earned,,Earned,Earned,Earned,005,008,003
001903,ELKHART ISD,,,07,REGION 07: KILGORE,ANDERSON,District,,No,"1,254",58.1%,2.3%,A,90,A,92,A,91,B,89,A,91,B,85,,,,,,,,,Not Earned,,,
001903,ELKHART ISD,001903001,ELKHART H S,07,REGION 07: KILGORE,ANDERSON,High School,09 - 12,No,376,49.7%,0.0%,B,89,A,91,B,86,B,85,B,86,B,83,,,Earned,Earned,Earned,Earned,Earned,Not Earned,Not Earned,005,008,003
001903,ELKHART ISD,001903002,ELKHART DAEP,07,REGION 07: KILGORE,ANDERSON,High School,08 - 10,No,2,100.0%,0.0%,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,,,,,,,,,,005,008,003
001903,ELKHART ISD,001903041,ELKHART MIDDLE,07,REGION 07: KILGORE,ANDERSON,Middle School,06 - 08,No,261,56.7%,0.8%,B,86,B,84,B,87,C,77,B,87,B,85,Targeted Support,,Not Earned,Not Earned,Earned,Earned,Not Earned,Earned,Earned,005,008,003
001903,ELKHART ISD,001903101,ELKHART EL,07,REGION 07: KILGORE,ANDERSON,Elementary,PK - 02,No,338,69.8%,5.3%,A,92,N/R,.,N/R,.,N/R,.,N/R,.,N/R,.,,,,,,,,,,005,008,003
001903,ELKHART ISD,001903102,ELKHART INT,07,REGION 07: KILGORE,ANDERSON,Elementary,03 - 05,No,277,56.0%,3.2%,A,92,B,88,A,91,A,91,B,86,A,94,,,Earned,Earned,Earned,,Earned,Earned,Earned,005,008,003
001904,FRANKSTON ISD,,,07,REGION 07: KILGORE,ANDERSON,District,,No,803,53.7%,2.9%,B,89,A,91,A,91,C,73,A,91,B,84,,,,,,,,,Not Earned,,,
001904,FRANKSTON ISD,001904001,FRANKSTON H S,07,REGION 07: KILGORE,ANDERSON,High School,09 - 12,No,228,43.4%,0.9%,B,86,B,89,B,85,B,80,B,85,C,79,,,Earned,Earned,Not Earned,Not Earned,Not Earned,Not Earned,Earned,005,008,003
001904,FRANKSTON ISD,001904041,FRANKSTON MIDDLE,07,REGION 07: KILGORE,ANDERSON,Middle School,06 - 08,No,194,50.5%,2.6%,B,84,B,85,B,86,C,74,B,86,B,80,,,Not Earned,Not Earned,Earned,Earned,Not Earned,Earned,Earned,005,008,003
001904,FRANKSTON ISD,001904102,FRANKSTON EL,07,REGION 07: KILGORE,ANDERSON,Elementary,EE - 05,No,381,61.4%,4.2%,C,78,C,78,B,82,D,60,B,82,C,70,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Earned,005,008,003
001906,NECHES ISD,,,07,REGION 07: KILGORE,ANDERSON,District,,No,366,47.8%,1.9%,A,91,A,93,A,93,B,84,A,93,B,86,,,,,,,,,Not Earned,,,
001906,NECHES ISD,001906002,NECHES H S,07,REGION 07: KILGORE,ANDERSON,High School,09 - 12,No,107,37.4%,0.9%,A,96,A,96,A,93,A,93,A,91,N/R,.,,,Not Earned,Earned,Not Earned,Not Earned,Earned,,Earned,005,008,003
