tea_id,name,absolute_url
057829,A+ Academy,/districts/a-academy/
101871,A+ Unlimited Potential,/districts/a-unlimited-potential/
057816,AW Brown-Fellowship Leadership Academy,/districts/aw-brown-fellowship-leadership-academy/
109901,Abbott ISD,/districts/abbott-isd/
095901,Abernathy ISD,/districts/abernathy-isd/
221901,Abilene ISD,/districts/abilene-isd/
014901,Academy ISD,/districts/academy-isd/
101810,Academy Of Accelerated Learning Inc,/districts/academy-of-accelerated-learning-inc/
057810,Academy Of Dallas,/districts/academy-of-dallas/
101849,Accelerated Intermediate Academy,/districts/accelerated-intermediate-academy/
180903,Adrian ISD,/districts/adrian-isd/
178901,Agua Dulce ISD,/districts/agua-dulce-isd/
015901,Alamo Heights ISD,/districts/alamo-heights-isd/
250906,Alba-Golden ISD,/districts/alba-golden-isd/
209901,Albany ISD,/districts/albany-isd/
101902,Aldine ISD,/districts/aldine-isd/
184907,Aledo ISD,/districts/aledo-isd/
125901,Alice ISD,/districts/alice-isd/
101903,Alief ISD,/districts/alief-isd/
101815,Alief Montessori Community School,/districts/alief-montessori-community-school/
043901,Allen ISD,/districts/allen-isd/
057832,Alpha Charter School,/districts/alpha-charter-school/
022901,Alpine ISD,/districts/alpine-isd/
037901,Alto ISD,/districts/alto-isd/
126901,Alvarado ISD,/districts/alvarado-isd/
020901,Alvin ISD,/districts/alvin-isd/
249901,Alvord ISD,/districts/alvord-isd/
188901,Amarillo ISD,/districts/amarillo-isd/
084804,Ambassadors Preparatory Academy,/districts/ambassadors-preparatory-academy/
140901,Amherst ISD,/districts/amherst-isd/
101819,Amigos Por Vida-Friends For Life Public Charter School,/districts/amigos-por-vida-friends-for-life-public-charter-school/
036901,Anahuac ISD,/districts/anahuac-isd/
093901,Anderson-Shiro CISD,/districts/anderson-shiro-cisd/
002901,Andrews ISD,/districts/andrews-isd/
020902,Angleton ISD,/districts/angleton-isd/
043902,Anna ISD,/districts/anna-isd/
127901,Anson ISD,/districts/anson-isd/
071906,Anthony ISD,/districts/anthony-isd/
110901,Anton ISD,/districts/anton-isd/
228905,Apple Springs ISD,/districts/apple-springs-isd/
109912,Aquilla ISD,/districts/aquilla-isd/
004901,Aransas County ISD,/districts/aransas-county-isd/
205901,Aransas Pass ISD,/districts/aransas-pass-isd/
005901,Archer City ISD,/districts/archer-city-isd/
061910,Argyle ISD,/districts/argyle-isd/
220802,Arlington Classics Academy,/districts/arlington-classics-academy/
220901,Arlington ISD,/districts/arlington-isd/
212901,Arp ISD,/districts/arp-isd/
021805,Arrow Academy,/districts/arrow-academy/
217901,Aspermont ISD,/districts/aspermont-isd/
107901,Athens ISD,/districts/athens-isd/
034901,Atlanta ISD,/districts/atlanta-isd/
061907,Aubrey ISD,/districts/aubrey-isd/
227825,Austin Achieve Public Schools,/districts/austin-achieve-public-schools/
227821,Austin Discovery School,/districts/austin-discovery-school/
227901,Austin ISD,/districts/austin-isd/
196901,Austwell-Tivoli ISD,/districts/austwell-tivoli-isd/
070901,Avalon ISD,/districts/avalon-isd/
194902,Avery ISD,/districts/avery-isd/
034902,Avinger ISD,/districts/avinger-isd/
161918,Axtell ISD,/districts/axtell-isd/
220915,Azle ISD,/districts/azle-isd/
030903,Baird ISD,/districts/baird-isd/
200901,Ballinger ISD,/districts/ballinger-isd/
195902,Balmorhea ISD,/districts/balmorhea-isd/
010902,Bandera ISD,/districts/bandera-isd/
025901,Bangs ISD,/districts/bangs-isd/
178913,Banquete ISD,/districts/banquete-isd/
036902,Barbers Hill ISD,/districts/barbers-hill-isd/
014902,Bartlett ISD,/districts/bartlett-isd/
015834,Basis San Antonio,/districts/basis-san-antonio/
011901,Bastrop ISD,/districts/bastrop-isd/
158901,Bay City ISD,/districts/bay-city-isd/
101847,Beatrice Mayes Institute Charter School,/districts/beatrice-mayes-institute-charter-school/
123910,Beaumont ISD,/districts/beaumont-isd/
183901,Beckville ISD,/districts/beckville-isd/
013901,Beeville ISD,/districts/beeville-isd/
039904,Bellevue ISD,/districts/bellevue-isd/
091901,Bells ISD,/districts/bells-isd/
008901,Bellville ISD,/districts/bellville-isd/
014903,Belton ISD,/districts/belton-isd/
125902,Ben Bolt-Palito Blanco ISD,/districts/ben-bolt-palito-blanco-isd/
066901,Benavides ISD,/districts/benavides-isd/
138904,Benjamin ISD,/districts/benjamin-isd/
101870,Beta Academy,/districts/beta-academy/
015809,Bexar County Academy,/districts/bexar-county-academy/
187901,Big Sandy ISD,/districts/big-sandy-isd-polk/
230901,Big Sandy ISD,/districts/big-sandy-isd-upshur/
114901,Big Spring ISD,/districts/big-spring-isd/
193801,Big Springs Charter School,/districts/big-springs-charter-school/
220902,Birdville ISD,/districts/birdville-isd/
178902,Bishop CISD,/districts/bishop-cisd/
177903,Blackwell CISD,/districts/blackwell-cisd/
016902,Blanco ISD,/districts/blanco-isd/
116915,Bland ISD,/districts/bland-isd/
025904,Blanket ISD,/districts/blanket-isd/
034909,Bloomburg ISD,/districts/bloomburg-isd/
175902,Blooming Grove ISD,/districts/blooming-grove-isd/
235901,Bloomington ISD,/districts/bloomington-isd/
043917,Blue Ridge ISD,/districts/blue-ridge-isd/
072904,Bluff Dale ISD,/districts/bluff-dale-isd/
109913,Blum ISD,/districts/blum-isd/
123807,Bob Hope School,/districts/bob-hope-school/
130901,Boerne ISD,/districts/boerne-isd/
116916,Boles ISD,/districts/boles-isd/
241901,Boling ISD,/districts/boling-isd/
074903,Bonham ISD,/districts/bonham-isd/
148901,Booker ISD,/districts/booker-isd/
017901,Borden County ISD,/districts/borden-county-isd/
117901,Borger ISD,/districts/borger-isd/
161923,Bosqueville ISD,/districts/bosqueville-isd/
185901,Bovina ISD,/districts/bovina-isd/
169901,Bowie ISD,/districts/bowie-isd/
249902,Boyd ISD,/districts/boyd-isd/
180901,Boys Ranch ISD,/districts/boys-ranch-isd/
136901,Brackett ISD,/districts/brackett-isd/
160901,Brady ISD,/districts/brady-isd/
008903,Brazos ISD,/districts/brazos-isd/
213801,Brazos River Charter School,/districts/brazos-river-charter-school/
