SURVYEAR,LEAID,FIPST,STID,NAME,PHONE,MSTREE,MCITY,MSTATE,MZIP,MZIP4,LSTREE,LCITY,LSTATE,LZIP,LZIP4,TYPE,UNION,CONUM,CONAME,CSA,CBSA,METMIC,ULOCAL,CDCODE,LATCOD,LONCOD,BOUND,GSLO,GSHI
2013,4800001,48,054901,CROSBYTON CISD,8066757331,204 S HARRISON ST,CROSBYTON,TX,79322,2130,204 S HARRISON ST,CROSBYTON,TX,79322,2130,1,000,48107,CROSBY COUNTY,352,31180,1,00:00:00,4819,33.658782,-101.246702,1,PK,12
2013,4800002,48,063903,SPUR ISD,8062713272,P O BOX 550,SPUR,TX,79370,0550,800 N WILLIAMS,SPUR,TX,79370,0550,1,000,48125,DICKENS COUNTY,N,N,0,00:00:00,4813,33.48184,-100.871419,1,PK,12
2013,4800003,48,069901,ROCKSPRINGS ISD,8306834137,P O BOX 157,ROCKSPRINGS,TX,78880,0157,201 N HWY 377,ROCKSPRINGS,TX,78880,0157,1,000,48137,EDWARDS COUNTY,N,N,0,00:00:00,4823,30.016649,-100.20553,1,PK,12
2013,4800004,48,015801,POR VIDA ACADEMY,2105328816,1135 MISSION RD,SAN ANTONIO,TX,78210,4598,1135 MISSION RD,SAN ANTONIO,TX,78210,4598,7,000,48029,BEXAR COUNTY,N,41700,1,00:00:00,4835,29.38532,-98.491341,1,09,12
2013,4800005,48,177903,BLACKWELL CISD,3252822311,P O BOX 505,BLACKWELL,TX,79506,0505,610 N ALAMO,BLACKWELL,TX,79506,0505,1,000,48353,NOLAN COUNTY,N,45020,2,00:00:00,4819,32.090717,-100.322564,1,PK,12
2013,4800006,48,217901,ASPERMONT ISD,9409893355,P O BOX 549,ASPERMONT,TX,79502,0549,528 E SEVENTH ST,ASPERMONT,TX,79502,0549,1,000,48433,STONEWALL COUNTY,N,N,0,00:00:00,4819,33.137987,-100.222793,1,PK,12
2013,4800007,48,042905,PANTHER CREEK CISD,3253574506,129 PR 3421,VALERA,TX,76884,2009,129 PR 3421,VALERA,TX,76884,2009,1,000,48083,COLEMAN COUNTY,N,N,0,00:00:00,4811,31.637916,-99.551094,1,PK,12
2013,4800008,48,105904,DRIPPING SPRINGS ISD,5128583000,P O BOX 479,DRIPPING SPRINGS,TX,78620,0479,510 W MERCER ST,DRIPPING SPRINGS,TX,78620,3867,1,000,48209,HAYS COUNTY,N,12420,1,00:00:00,4825,30.19409,-98.094361,1,PK,12
2013,4800009,48,105905,WIMBERLEY ISD,5128472414,14401 RANCH RD 12,WIMBERLEY,TX,78676,6216,14401 RANCH RD 12,WIMBERLEY,TX,78676,6216,1,000,48209,HAYS COUNTY,N,12420,1,00:00:00,4825,30.001347,-98.101757,1,PK,12
2013,4800010,48,105906,HAYS CISD,5122682141,21003 INTERSTATE 35,KYLE,TX,78640,9530,21003 INTERSTATE 35,KYLE,TX,78640,9530,1,000,48209,HAYS COUNTY,N,12420,1,00:00:00,4835,30.00651,-97.861911,1,PK,12
2013,4800011,48,126901,ALVARADO ISD,8177836800,P O BOX 387,ALVARADO,TX,76009,4206,102 S BILL JACKSON DR,ALVARADO,TX,76009,4206,1,000,48251,JOHNSON COUNTY,206,19100,1,00:00:00,4825,32.406984,-97.220652,1,PK,12
2013,4800012,48,139905,CHISUM ISD,9037372830,3250 S CHURCH ST,PARIS,TX,75462,8909,3250 S CHURCH ST,PARIS,TX,75462,8909,1,000,48277,LAMAR COUNTY,N,37580,2,00:00:00,4804,33.624073,-95.563612,1,PK,12
2013,4800014,48,015802,GEORGE GERVIN ACADEMY,2105688800,6944 SUNBELT DR S,SAN ANTONIO,TX,78218,3336,6944 SUNBELT DR S,SAN ANTONIO,TX,78218,3336,7,000,48029,BEXAR COUNTY,N,41700,1,00:00:00,4835,29.49171,-98.428251,1,PK,12
2013,4800016,48,057804,TEXANS CAN ACADEMIES,2149432244,325 W 12TH STE 200,DALLAS,TX,75208,5766,325 W 12TH STE 200,DALLAS,TX,75208,5766,7,000,48113,DALLAS COUNTY,206,19100,1,00:00:00,4833,32.74162,-96.827401,5,09,12
2013,4800017,48,101801,MEDICAL CENTER CHARTER SCHOOL,7137919980,1920 N BRAESWOOD,HOUSTON,TX,77030,3711,1920 N BRAESWOOD,HOUSTON,TX,77030,3711,7,000,48201,HARRIS COUNTY,288,26420,1,00:00:00,4809,29.70163,-95.407611,1,PK,06
2013,4800018,48,101802,SER-NINOS CHARTER SCHOOL,7136676145,5815 ALDER DR,HOUSTON,TX,77081,5298,5815 ALDER DR,HOUSTON,TX,77081,5298,7,000,48201,HARRIS COUNTY,288,26420,1,00:00:00,4807,29.71777,-95.479931,1,PK,08
2013,4800019,48,101803,ARISTOI CLASSICAL ACADEMY,2813915003,5618 11TH ST,KATY,TX,77493,1971,5618 11TH ST,KATY,TX,77493,1971,7,000,48201,HARRIS COUNTY,288,26420,1,00:00:00,4810,29.79711,-95.821791,1,KG,08
2013,4800020,48,101804,GEORGE I SANCHEZ CHARTER,7139261112,6001 GULF FWY BLDG B3,HOUSTON,TX,77023,5423,6001 GULF FWY BLDG B3,HOUSTON,TX,77023,5423,7,000,48201,HARRIS COUNTY,288,26420,1,00:00:00,4829,29.71521,-95.311641,1,PK,12
2013,4800021,48,101805,GIRLS & BOYS PREPARATORY ACADEMY,7132705994,8282 BISSONNET ST STE 125,HOUSTON,TX,77074,,8282 BISSONNET ST STE 125,HOUSTON,TX,77074,,7,000,48201,HARRIS COUNTY,288,26420,1,00:00:00,4809,29.67931,-95.525461,1,PK,12
2013,4800022,48,101806,RAUL YZAGUIRRE SCHOOL FOR SUCCESS,7136403700,2950 BROADWAY,HOUSTON,TX,77017,6624,2255 N CORIA ST,BROWNSVILLE,TX,78520,6624,7,000,48061,CAMERON COUNTY,154,15180,1,00:00:00,4834,25.93547,-97.508421,1,KG,12
2013,4800023,48,108801,IGNITE PUBLIC SCHOOLS AND COMMUNITY SERVICE CENTER,9563932227,4701 S SUGAR RD STE D,EDINBURG,TX,78539,0164,4701 S SUGAR RD STE D,EDINBURG,TX,78539,0164,7,000,48215,HIDALGO COUNTY,365,32580,1,00:00:00,4815,26.259952,-98.185287,1,PK,12
