type,id,name,campus,district,county,overall,overall_score,1_achievement,1_achievement_score,2_progress,2_progress_score,3_gaps,3_gaps_score,student_pop,region,perc_econ_disadvantage,type_detail,absolute_url
district,1902.0,CAYUGA ISD,,CAYUGA ISD,Anderson,A,94,A,95,A,93,A,93,574,REGION 07: KILGORE,40.8%,District,/districts/cayuga-isd/
campus,1902001.0,CAYUGA H S,CAYUGA H S,CAYUGA ISD,Anderson,A,96,A,94,A,90,A,100,169,REGION 07: KILGORE,34.3%,High School,/districts/cayuga-isd/cayuga-high-school/
campus,1902041.0,CAYUGA MIDDLE,CAYUGA MIDDLE,CAYUGA ISD,Anderson,B,84,B,86,B,82,C,79,159,REGION 07: KILGORE,39.6%,Middle School,/districts/cayuga-isd/cayuga-middle-school/
campus,1902103.0,CAYUGA EL,CAYUGA EL,CAYUGA ISD,Anderson,A,91,A,92,A,90,B,87,246,REGION 07: KILGORE,45.9%,Elementary,/districts/cayuga-isd/cayuga-elementary-school/
district,1903.0,ELKHART ISD,,ELKHART ISD,Anderson,A,91,A,93,A,92,B,87,"1,150",REGION 07: KILGORE,45.4%,District,/districts/elkhart-isd/
campus,1903001.0,ELKHART H S,ELKHART H S,ELKHART ISD,Anderson,B,89,A,92,B,86,B,81,307,REGION 07: KILGORE,34.5%,High School,/districts/elkhart-isd/elkhart-high-school/
campus,1903041.0,ELKHART MIDDLE,ELKHART MIDDLE,ELKHART ISD,Anderson,B,83,B,86,B,84,C,76,268,REGION 07: KILGORE,43.7%,Middle School,/districts/elkhart-isd/elkhart-middle-school/
campus,1903101.0,ELKHART EL,ELKHART EL,ELKHART ISD,Anderson,A,91,Not Rated,.,Not Rated,.,Not Rated,.,320,REGION 07: KILGORE,57.8%,Elementary,/districts/elkhart-isd/elkhart-elementary-school/
campus,1903102.0,ELKHART INT,ELKHART INT,ELKHART ISD,Anderson,A,91,A,90,B,88,A,94,255,REGION 07: KILGORE,44.7%,Elementary,/districts/elkhart-isd/elkhart-intermediate-school/
district,1904.0,FRANKSTON ISD,,FRANKSTON ISD,Anderson,A,92,A,92,A,92,A,91,808,REGION 07: KILGORE,54.2%,District,/districts/frankston-isd/
campus,1904001.0,FRANKSTON H S,FRANKSTON H S,FRANKSTON ISD,Anderson,A,95,A,93,A,92,A,100,232,REGION 07: KILGORE,42.2%,High School,/districts/frankston-isd/frankston-high-school/
campus,1904041.0,FRANKSTON MIDDLE,FRANKSTON MIDDLE,FRANKSTON ISD,Anderson,C,79,C,79,B,80,C,77,203,REGION 07: KILGORE,52.7%,Middle School,/districts/frankston-isd/frankston-middle-school/
campus,1904102.0,FRANKSTON EL,FRANKSTON EL,FRANKSTON ISD,Anderson,A,93,A,90,A,90,A,100,373,REGION 07: KILGORE,62.5%,Elementary,/districts/frankston-isd/frankston-elementary-school/
district,1906.0,NECHES ISD,,NECHES ISD,Anderson,A,97,A,95,A,94,A,100,342,REGION 07: KILGORE,54.1%,District,/districts/neches-isd/
campus,1906002.0,NECHES H S,NECHES H S,NECHES ISD,Anderson,A,95,A,95,A,92,Not Rated,.,104,REGION 07: KILGORE,48.1%,High School,/districts/neches-isd/neches-high-school/
campus,1906102.0,NECHES EL,NECHES EL,NECHES ISD,Anderson,A,93,A,90,B,89,A,100,238,REGION 07: KILGORE,56.7%,Elementary,/districts/neches-isd/neches-elementary-school/
district,1907.0,PALESTINE ISD,,PALESTINE ISD,Anderson,B,89,B,88,A,92,B,83,"3,360",REGION 07: KILGORE,81.6%,District,/districts/palestine-isd/
campus,1907001.0,PALESTINE H S,PALESTINE H S,PALESTINE ISD,Anderson,B,88,B,87,B,89,B,84,"1,040",REGION 07: KILGORE,79.9%,High School,/districts/palestine-isd/palestine-high-school/
campus,1907041.0,PALESTINE J H,PALESTINE J H,PALESTINE ISD,Anderson,B,86,C,79,B,89,C,78,502,REGION 07: KILGORE,78.1%,Middle School,/districts/palestine-isd/palestine-junior-high/
campus,1907101.0,NORTHSIDE PRI,NORTHSIDE PRI,PALESTINE ISD,Anderson,C,78,Not Rated,.,Not Rated,.,Not Rated,.,484,REGION 07: KILGORE,87.4%,Elementary,/districts/palestine-isd/northside-primary-school/
campus,1907102.0,WASHINGTON EARLY CHILDHOOD CENTER,WASHINGTON EARLY CHILDHOOD CENTER,PALESTINE ISD,Anderson,C,78,Not Rated,.,Not Rated,.,Not Rated,.,227,REGION 07: KILGORE,87.2%,Elementary,/districts/palestine-isd/washington-early-childhood-center/
campus,1907107.0,SOUTHSIDE EL,SOUTHSIDE EL,PALESTINE ISD,Anderson,C,78,C,74,B,81,C,72,468,REGION 07: KILGORE,81.0%,Elementary,/districts/palestine-isd/southside-elementary-school/
campus,1907110.0,STORY INT,STORY INT,PALESTINE ISD,Anderson,B,80,C,74,B,82,C,76,639,REGION 07: KILGORE,81.1%,Elementary,/districts/palestine-isd/story-intermediate-school/
district,1908.0,WESTWOOD ISD,,WESTWOOD ISD,Anderson,B,88,B,85,A,92,C,77,"1,332",REGION 07: KILGORE,74.0%,District,/districts/westwood-isd/
campus,1908002.0,WESTWOOD H S,WESTWOOD H S,WESTWOOD ISD,Anderson,B,85,B,85,B,89,C,77,400,REGION 07: KILGORE,67.5%,High School,/districts/westwood-isd/westwood-high-school/
campus,1908041.0,WESTWOOD J H,WESTWOOD J H,WESTWOOD ISD,Anderson,C,77,Not Rated: Senate Bill 1365,67,C,79,C,72,206,REGION 07: KILGORE,77.7%,Middle School,/districts/westwood-isd/westwood-junior-high/
campus,1908101.0,WESTWOOD EL,WESTWOOD EL,WESTWOOD ISD,Anderson,B,83,C,72,B,86,C,76,384,REGION 07: KILGORE,74.5%,Elementary,/districts/westwood-isd/westwood-elementary-school/
campus,1908102.0,WESTWOOD PRI,WESTWOOD PRI,WESTWOOD ISD,Anderson,B,83,Not Rated,.,Not Rated,.,Not Rated,.,342,REGION 07: KILGORE,78.9%,Elementary,/districts/westwood-isd/westwood-primary-school/
district,1909.0,SLOCUM ISD,,SLOCUM ISD,Anderson,B,89,A,92,A,91,B,83,361,REGION 07: KILGORE,46.8%,District,/districts/slocum-isd/
campus,1909001.0,SLOCUM H S,SLOCUM H S,SLOCUM ISD,Anderson,A,92,A,94,B,85,B,88,104,REGION 07: KILGORE,33.7%,High School,/districts/slocum-isd/slocum-high-school/
campus,1909101.0,SLOCUM PK - 8,SLOCUM PK - 8,SLOCUM ISD,Anderson,B,81,B,82,B,82,C,77,257,REGION 07: KILGORE,52.1%,Elementary,/districts/slocum-isd/slocum-pk-8/
district,2901.0,ANDREWS ISD,,ANDREWS ISD,Andrews,B,89,B,88,A,91,B,85,"4,131",REGION 18: MIDLAND,49.6%,District,/districts/andrews-isd/
campus,2901001.0,ANDREWS H S,ANDREWS H S,ANDREWS ISD,Andrews,B,86,B,89,A,90,C,76,"1,151",REGION 18: MIDLAND,44.9%,High School,/districts/andrews-isd/andrews-high-school/
campus,2901002.0,ANDREWS EDUCATION CENTER,ANDREWS EDUCATION CENTER,ANDREWS ISD,Andrews,C,76,C,76,Not Rated,.,Not Rated,.,60,REGION 18: MIDLAND,60.0%,High School,/districts/andrews-isd/andrews-education-center/
campus,2901041.0,ANDREWS MIDDLE,ANDREWS MIDDLE,ANDREWS ISD,Andrews,B,84,B,81,B,84,B,85,931,REGION 18: MIDLAND,48.7%,Middle School,/districts/andrews-isd/andrews-middle-school/
campus,2901101.0,DEVONIAN EL,DEVONIAN EL,ANDREWS ISD,Andrews,C,79,C,78,C,79,C,78,622,REGION 18: MIDLAND,53.2%,Elementary,/districts/andrews-isd/devonian-elementary-school/
campus,2901104.0,UNDERWOOD EL,UNDERWOOD EL,ANDREWS ISD,Andrews,C,74,C,74,C,75,C,71,605,REGION 18: MIDLAND,50.6%,Elementary,/districts/andrews-isd/underwood-elementary-school/
campus,2901105.0,CLEARFORK EL,CLEARFORK EL,ANDREWS ISD,Andrews,C,79,Not Rated,.,Not Rated,.,Not Rated,.,762,REGION 18: MIDLAND,53.1%,Elementary,/districts/andrews-isd/clearfork-elementary-school/
district,3801.0,PINEYWOODS COMMUNITY ACADEMY,,PINEYWOODS COMMUNITY ACADEMY,Angelina,A,92,A,93,A,93,B,89,995,REGION 07: KILGORE,57.8%,District,/districts/pineywoods-community-academy/
campus,3801001.0,PINEYWOODS COMMUNITY ACADEMY H S,PINEYWOODS COMMUNITY ACADEMY H S,PINEYWOODS COMMUNITY ACADEMY,Angelina,A,92,A,93,A,90,A,90,258,REGION 07: KILGORE,47.7%,High School,/districts/pineywoods-community-academy/pineywoods-community-academy-high-school/
campus,3801002.0,PINEYWOOD COMMUNITY ACADEMY - LIVINGSTON,PINEYWOOD COMMUNITY ACADEMY - LIVINGSTON,PINEYWOODS COMMUNITY ACADEMY,Angelina,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,3,REGION 07: KILGORE,0.0%,High School,
campus,3801042.0,DR TERRY ROBBINS MIDDLE,DR TERRY ROBBINS MIDDLE,PINEYWOODS COMMUNITY ACADEMY,Angelina,B,85,B,83,B,87,C,79,231,REGION 07: KILGORE,61.0%,Middle School,/districts/pineywoods-community-academy/dr-terry-robbins-middle-school/
campus,3801103.0,SARAH STRINDEN EL,SARAH STRINDEN EL,PINEYWOODS COMMUNITY ACADEMY,Angelina,A,93,B,88,A,91,A,96,503,REGION 07: KILGORE,61.8%,Elementary,/districts/pineywoods-community-academy/sarah-strinden-elementary-school/
district,3902.0,HUDSON ISD,,HUDSON ISD,Angelina,A,92,A,90,A,91,A,94,"2,799",REGION 07: KILGORE,50.1%,District,/districts/hudson-isd/
campus,3902001.0,HUDSON H S,HUDSON H S,HUDSON ISD,Angelina,A,91,A,93,B,88,B,85,815,REGION 07: KILGORE,42.5%,High School,/districts/hudson-isd/hudson-high-school/
campus,3902004.0,STUBBLEFIELD LRN CTR,STUBBLEFIELD LRN CTR,HUDSON ISD,Angelina,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,9,REGION 07: KILGORE,44.4%,High School,/districts/hudson-isd/stubblefield-learning-center/
campus,3902041.0,HUDSON MIDDLE,HUDSON MIDDLE,HUDSON ISD,Angelina,B,89,A,90,A,91,B,85,646,REGION 07: KILGORE,51.9%,Middle School,/districts/hudson-isd/hudson-middle-school/
campus,3902101.0,W F PEAVY PRI,W F PEAVY PRI,HUDSON ISD,Angelina,B,89,Not Rated,.,Not Rated,.,Not Rated,.,677,REGION 07: KILGORE,55.1%,Elementary,/districts/hudson-isd/w-f-peavy-primary-school/
campus,3902102.0,W H BONNER EL,W H BONNER EL,HUDSON ISD,Angelina,B,89,B,82,B,86,A,96,652,REGION 07: KILGORE,52.9%,Elementary,/districts/hudson-isd/w-h-bonner-elementary-school/
district,3903.0,LUFKIN ISD,,LUFKIN ISD,Angelina,B,87,B,82,A,91,C,77,"7,318",REGION 07: KILGORE,85.8%,District,/districts/lufkin-isd/
campus,3903001.0,LUFKIN H S,LUFKIN H S,LUFKIN ISD,Angelina,B,86,B,85,A,90,C,78,"2,163",REGION 07: KILGORE,81.2%,High School,/districts/lufkin-isd/lufkin-high-school/
campus,3903004.0,STUBBLEFIELD LRN CTR,STUBBLEFIELD LRN CTR,LUFKIN ISD,Angelina,Not Rated: Senate Bill 1365,66,Not Rated: Senate Bill 1365,66,Not Rated,.,Not Rated,.,32,REGION 07: KILGORE,81.3%,High School,/districts/lufkin-isd/stubblefield-learning-center/
